"sample_id","cell_type","genotype","contrast","n_cell_type","n_genotype","n_wt","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value"
"PP1","Endothelial_cell","CARM1","CARM1 / WT",485,353,256,2.35724008931754,0.7009402677695,Inf,0.950595413188503,5.8453688725972,1,2.88371689891139,0.0811970872544292
"PP1","Endothelial_cell","CBX4","CBX4 / WT",485,245,256,1.35242091823636,0.468685416288395,Inf,0.469299732230893,3.89738628528218,1,0.871140432201448,0.990838478449092
"PP1","Endothelial_cell","DPY30","DPY30 / WT",485,168,256,1.20501887037795,0.476480251144867,Inf,0.360184485654735,4.03146314124944,1,0.47164655217398,0.999842842356057
"PP1","Endothelial_cell","EOMES","EOMES / WT",485,7,256,34.4951042797886,27.8089187271927,Inf,2.9408171293533,404.619589363979,1,4.39214724450581,0.000321448086653575
"PP1","Endothelial_cell","FEV","FEV / WT",485,249,256,1.58790164447953,0.532664440011848,Inf,0.570015113230813,4.4234469823957,1,1.3784795483441,0.88267876894038
"PP1","Endothelial_cell","GCM1","GCM1 / WT",485,208,256,2.01610271929057,0.673884928465491,Inf,0.726386469245182,5.59574048640332,1,2.09772206839429,0.439815516540997
"PP1","Endothelial_cell","HES1","HES1 / WT",485,45,256,1.6357175158987,0.934385789389774,Inf,0.285776834621249,9.36245163245603,1,0.861428361919973,0.991452624493895
"PP1","Endothelial_cell","HNF1A","HNF1A / WT",485,216,256,1.46258165691831,0.515014352053093,Inf,0.498959520585227,4.28721171738523,1,1.07973326387755,0.967304268413886
"PP1","Endothelial_cell","HNF4A","HNF4A / WT",485,131,256,1.87399126022219,0.717690202206135,Inf,0.581831896078609,6.03583830150602,1,1.63998151550433,0.749194868301101
"PP1","Endothelial_cell","INSM1","INSM1 / WT",485,107,256,0.758760793728633,0.488420673701085,Inf,0.106243324054654,5.41886228826519,1,-0.428872334013309,0.999918922389118
"PP1","Endothelial_cell","ISL1","ISL1 / WT",485,327,256,1.63667422961099,0.5177321327072,Inf,0.622852767023891,4.30069941998022,1,1.55743509747897,0.796890536898487
"PP1","Endothelial_cell","JMJD6","JMJD6 / WT",485,37,256,0.530647607680998,0.490546745181624,Inf,0.0315252400611092,8.93210909708323,1,-0.685456863312838,0.998020761823757
"PP1","Endothelial_cell","MAFB","MAFB / WT",485,234,256,1.16551846420215,0.421767717874822,Inf,0.385957529272268,3.51964448771733,1,0.423261000732023,0.999926055512745
